phrase;rel_page;2018-11-30;2018-12-01;2018-12-02;2018-12-03;2018-12-04;2018-12-05;2018-12-06;2018-12-07;2018-12-08;2018-12-09;2018-12-10;2018-12-11;2018-12-12;2018-12-13;2018-12-14;2018-12-15;2018-12-16;2018-12-17;2018-12-18;2018-12-19
крем premier;https://da-vita.ru/catalog/premier.html;9;8;4;4;4;4;5;4;6;5;5;4;4;4;5;5;6;7;10;7
крем premier купить;https://da-vita.ru/catalog/premier.html;4;3;2;3;2;2;2;2;2;2;2;2;4;3;5;5;4;4;4;4
крем sea of spa;https://da-vita.ru/catalog/sea_of_spa.html;11;11;12;11;12;14;15;6;11;13;15;11;13;12;26;25;39;21;43;42
крем sea of spa израиль;https://da-vita.ru/catalog/sea_of_spa.html;8;5;9;8;8;7;7;7;10;3;7;7;8;9;6;6;7;6;4;8
крем spa pharma;https://da-vita.ru/catalog/spa-pharma.html;5;7;5;5;5;5;5;6;5;5;5;5;5;5;6;6;6;6;6;5
крем антиоксидант витамин е;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем вокруг глаз ahava;https://da-vita.ru/catalog/kremi-dlya-glaz-vek-ahava.html;14;8;9;9;7;8;8;8;11;12;7;7;7;8;9;7;8;7;9;8
крем вокруг глаз ahava купить;https://da-vita.ru/catalog/kremi-dlya-glaz-vek-ahava.html;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1
крем вокруг губ от морщин купить;https://da-vita.ru/catalog/krem-ot-morshchin-vokrug-gub.html;2;1;2;1;1;1;1;1;2;1;1;1;2;1;1;2;1;1;1;1
крем воск от псориаза купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем гель для век с маслом ши;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем для волос несмываемый купить;https://da-vita.ru/catalog/maski-i-nesmivaemie-kremi-dlya-volos.html;8;12;13;16;13;16;14;13;15;12;11;10;12;11;14;14;14;17;21;15
крем для глаз ahava;https://da-vita.ru/catalog/kremi-dlya-glaz-vek-ahava.html;7;7;7;7;7;6;7;7;6;7;6;6;6;6;6;6;6;6;5;7
крем для глаз premier;https://da-vita.ru/catalog/kremi-i-geli-dlya-koji-vokrug-glaz/krem-dlya-koji-vokrug-glaz_premier.html;34;34;31;27;24;24;24;12;28;25;26;26;30;23;39;10;42;18;22;20
крем для глаз sea of spa;https://da-vita.ru/catalog/kremi-dlya-glaz-sea-of-spa.html;29;26;29;18;17;21;15;19;16;22;15;37;20;36;17;12;19;19;21;19
крем для глаз sea of spa нежный;https://da-vita.ru/catalog/kremi-s-aloe/vosstanavlivayushchii_kremgel_dlya_koji_vokrug_glaz_bio_marine.html;32;35;41;36;38;36;30;30;35;29;32;31;33;34;29;44;41;49;40;39
крем для глаз лифтинг;-;101;101;101;82;91;92;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем для глаз от морщин для мужчин купить;https://da-vita.ru/catalog/krem-ot-morshchin-dlya-mujchin.html;29;24;34;20;23;24;20;21;22;18;19;19;23;29;17;25;26;27;25;26
крем для глаз с витамином с купить;https://da-vita.ru/catalog/geli-i-kremi-dlya-glaz-s-vitaminom-e.html;11;11;12;4;7;11;4;8;9;8;9;9;11;10;9;8;7;17;5;5
крем для глаз с золотом;https://da-vita.ru/catalog/geli-i-kremi-dlya-glaz-s-zolotom.html;16;19;13;9;15;11;12;12;14;10;12;6;6;12;9;5;6;7;10;9
крем для жирной кожи лица на лето;https://da-vita.ru/beauty-blog/kak-vibrat-krem-na-leto-i-vesnu.html;25;25;101;31;18;20;30;23;21;20;22;21;24;22;16;23;21;25;26;26
крем для жирной кожи на лето;https://da-vita.ru/beauty-blog/kak-vibrat-krem-na-leto-i-vesnu.html;30;23;30;28;27;23;23;24;25;24;24;24;28;24;24;18;13;22;18;22
крем для зрелой кожи рук;https://da-vita.ru/catalog/kremi-dlya-zreloi-koji-ruk.html;4;4;2;4;2;2;3;3;3;3;3;2;2;2;2;2;2;2;2;2
крем для кожи вокруг глаз ahava;https://da-vita.ru/catalog/kremi-dlya-glaz-vek-ahava.html;16;15;16;13;10;9;12;11;14;8;8;8;8;7;8;10;7;7;7;10
крем для кожи вокруг глаз ahava минеральный;https://da-vita.ru/catalog/kremi-dlya-glaz-vek-ahava.html;17;16;21;17;16;16;17;18;23;16;16;20;22;19;18;12;20;19;17;15
крем для кожи летом;https://da-vita.ru/beauty-blog/kak-vibrat-krem-na-leto-i-vesnu.html;27;21;23;23;24;24;12;23;18;12;23;23;24;23;23;24;23;22;23;23
крем для кожи рук увлажняющий;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем для кожи тела купить;https://da-vita.ru/catalog/gustie-kremi-i-masla-batteri-dlya-tela.html;25;26;24;20;20;19;14;16;19;15;17;11;17;12;16;30;12;11;32;12
крем для лета для 35 40;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем для лета после 60 лет;https://da-vita.ru/catalog/kremi-dlya-lica-60-let.html;37;51;79;78;48;80;83;83;85;85;86;84;84;89;89;91;91;89;88;88
крем для лечения грибка ногтей на ногах;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем для лица 25 купить;https://da-vita.ru/catalog/kremi-dlya-lica-25-let.html;4;18;4;3;4;4;5;6;6;5;5;4;8;12;8;10;6;28;8;6
крем для лица 25 лет купить;https://da-vita.ru/catalog/kremi-dlya-lica-25-let.html;4;4;4;4;3;3;4;4;4;3;3;3;3;3;3;3;3;3;3;3
крем для лица 45 лет купить;https://da-vita.ru/catalog/kremi-dlya-lica-45-let.html;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;1;1;1;1
крем для лица 50 лет купить;https://da-vita.ru/catalog/kremi-dlya-lica-50-let.html;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
крем для лица black pearl;https://da-vita.ru/catalog/kosmetika-black-pearl.html;2;2;3;2;2;3;2;2;2;2;2;2;3;2;2;2;2;2;5;2
крем для лица dr sea;-;75;75;72;81;80;80;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем для лица kedem;https://da-vita.ru/catalog/kedem---100-naturalnaya-kosmetika.html;5;3;5;4;4;2;4;3;4;4;4;4;5;4;4;3;6;5;5;5
крем для лица весной для женщин;https://da-vita.ru/beauty-blog/kak-vibrat-krem-na-leto-i-vesnu.html;15;13;20;12;10;11;10;5;91;10;10;11;12;12;19;13;11;96;8;11
крем для лица весной какой выбрать;https://da-vita.ru/beauty-blog/kak-vibrat-krem-na-leto-i-vesnu.html;6;6;6;6;6;6;5;5;6;4;5;5;5;4;4;5;4;4;4;5
крем для лица весной после 40;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем для лица для жирной кожи купить;https://da-vita.ru/catalog/kremi-dlya-jirnoi-koji.html;7;8;8;5;8;7;4;5;5;4;4;4;7;5;11;5;4;6;5;9
крем для лица для чувствительной кожи ahava;https://da-vita.ru/catalog/zajivlyayushchie-i-uspokaivayushchie-sredstva/uspokaivayushchii-krem-lica-dlya-ochen-chuvstvitel-noi-i-razdrajennoi-koji-clineral-skinpro.html;12;21;4;10;6;8;9;11;16;12;20;11;9;11;10;10;8;12;13;11
крем для лица израильская косметика;https://da-vita.ru/catalog/izrailskie-kremi-dlya-lica.html;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
крем для лица купить в интернет магазине;https://da-vita.ru/catalog/kremi-dlya-lica.html;35;42;31;30;32;31;28;41;29;28;28;26;29;34;27;30;29;26;27;28
крем для лица на весну и лето;https://da-vita.ru/beauty-blog/kak-vibrat-krem-na-leto-i-vesnu.html;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
крем для лица на лето;https://da-vita.ru/beauty-blog/kak-vibrat-krem-na-leto-i-vesnu.html;15;15;14;14;13;13;12;12;13;12;12;13;14;12;13;19;19;12;13;7
крем для лица на лето с spf;https://da-vita.ru/beauty-blog/kak-vibrat-krem-na-leto-i-vesnu.html;25;25;18;26;25;16;18;21;22;19;21;23;17;18;15;17;19;22;11;19
крем для лица после 25 лет купить;https://da-vita.ru/catalog/kremi-dlya-lica-25-let.html;2;3;3;2;4;2;2;3;2;2;4;5;5;5;3;6;2;2;3;2
крем для лица после 50 лет купить;https://da-vita.ru/catalog/kremi-dlya-lica-50-let.html;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1
крем для лица после 55 лет купить;https://da-vita.ru/catalog/kremi-dlya-lica-55-let.html;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
крем для лица после 60 лет купить;https://da-vita.ru/catalog/kremi-dlya-lica-60-let.html;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
крем для лица премиум класса;https://da-vita.ru/catalog/izrailskie-kremi-dlya-lica.html;54;58;59;54;54;54;43;46;48;34;47;53;56;53;47;49;48;55;25;41
крем для лица с антиоксидантами;https://da-vita.ru/beauty-blog/antioksidanti-v-kosmetike.html;17;14;32;27;29;28;27;29;28;27;27;29;32;29;10;21;22;24;24;22
крем для ног ahava;https://da-vita.ru/catalog/kremi-dlya-nog-ahava.html;4;4;4;4;6;4;4;4;4;5;5;6;5;5;5;5;6;6;10;6
крем для огрубевшей кожи ног купить;https://da-vita.ru/catalog/krem-dlya-ogrubevshei-koji.html;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;3;2;2
крем для огрубевшей кожи рук купить;https://da-vita.ru/catalog/krem-dlya-ogrubevshei-koji.html;8;8;11;9;9;8;7;7;6;6;7;7;7;6;8;8;7;6;6;6
крем для подтяжки кожи тела купить;https://da-vita.ru/catalog/kremi-dlya-podtyajki-kozhi-tela.html;19;16;20;13;14;12;12;15;13;18;12;12;12;10;9;10;13;11;11;24
крем для проблемной кожи лица купить;https://da-vita.ru/catalog/kremi-dlya-jirnoi-koji.html;18;19;23;14;12;17;11;14;14;13;12;11;16;14;12;13;8;15;11;11
крем для проблемной кожи на лето;https://da-vita.ru/beauty-blog/kak-vibrat-krem-na-leto-i-vesnu.html;26;36;38;18;18;29;28;27;28;22;13;27;23;21;21;21;18;37;21;22
крем для рук ahava купить;https://da-vita.ru/catalog/kremi-dlya-ruk-ahava.html;11;14;12;10;7;7;10;12;13;5;6;4;6;6;6;4;4;4;4;4
крем для рук ahava цена;https://da-vita.ru/catalog/kremi-dlya-ruk-ahava.html;24;27;28;24;13;13;24;24;24;13;13;11;16;14;13;14;14;13;26;8
крем для рук black pearl;https://da-vita.ru/catalog/kremi-dlya-ruk-black-pearl.html;5;5;6;4;4;4;4;5;6;4;4;4;5;4;4;4;4;5;4;4
крем для рук dr sea;https://da-vita.ru/catalog/kremi-dlya-ruk-dr-sea.html;28;25;17;35;24;28;15;46;16;15;28;18;25;20;18;18;18;18;21;16
крем для рук health beauty;https://da-vita.ru/catalog/uhod-za-nogtyami/krem-dlya-ruk-i-nogtei-s-maslom-argani-180-ml.html;44;44;44;47;39;37;32;17;41;29;27;10;50;39;44;44;39;36;38;37
крем для рук mon platin dsm;https://da-vita.ru/catalog/kremi-dlya-suhoi-koji-ruk/krem-dlya-ruk-s-aloe.html;38;31;35;42;23;35;33;35;35;32;32;30;27;34;34;34;38;38;34;34
крем для рук premier;https://da-vita.ru/catalog/kremi-dlya-zreloi-koji-ruk/pitatelnii-krem-dlya-ruk-premier.html;27;27;29;29;38;27;18;21;12;21;23;9;23;13;26;13;11;11;26;29
крем для рук sea of spa;https://da-vita.ru/catalog/kremi-dlya-ruk-sea-of-spa.html;8;14;10;7;7;7;6;8;7;12;6;6;7;6;8;6;6;6;6;5
крем для рук sea of spa купить;https://da-vita.ru/catalog/kremi-dlya-ruk-sea-of-spa.html;1;2;1;2;2;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2
крем для рук израильский health beauty;https://da-vita.ru/catalog/kremi-dlya-zreloi-koji-ruk/vosstanavlivayushchii-krem-dlya-ruk-i-nogtei-s-gryaz-yu-mertvogo-morya-250ml.html;24;22;28;16;17;17;15;18;10;13;15;15;16;13;17;10;14;10;10;9
крем для рук израильский sea of spa;https://da-vita.ru/catalog/kremi-dlya-ruk-sea-of-spa.html;5;6;5;4;3;3;3;5;4;3;3;4;4;3;2;2;2;2;2;2
крем для рук регенерирующий купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем для смягчения кожи ног;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем для смягчения кожи рук;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем для сухой кожи ног купить;https://da-vita.ru/catalog/krem-dlya-suhoi-koji-nog.html;4;4;4;4;4;4;4;5;5;4;4;4;5;4;8;4;4;13;3;3
крем для сухой кожи рук купить;https://da-vita.ru/catalog/kremi-dlya-suhoi-koji-ruk.html;16;17;13;14;14;14;12;11;14;11;12;12;14;12;12;11;7;9;7;9
крем для тела dr sea;https://da-vita.ru/catalog/kremi-dlya-tela-dr-sea.html;49;52;53;44;44;42;40;39;46;39;40;30;25;26;25;24;22;21;21;20
крем для тела sea of spa;https://da-vita.ru/catalog/kremi-dlya-tela-sea-of-spa.html;21;18;19;7;23;18;11;6;17;16;11;14;46;11;8;9;7;7;7;7
крем для тела израильская косметика;https://da-vita.ru/catalog/izrailskaya-kosmetika-dlya-tela.html;2;3;3;3;3;3;2;2;2;2;2;3;3;2;3;3;3;3;3;3
крем для тонуса кожи тела купить;https://da-vita.ru/catalog/kremi-dlya-podtyajki-kozhi-tela.html;63;50;61;60;54;52;89;55;59;45;44;50;55;49;47;50;42;46;43;42
крем для увлажнения кожи рук купить;https://da-vita.ru/catalog/uvlajnyayushchie-pitatelnie-kremi-dlya-tela.html;47;59;33;32;27;28;74;75;76;31;29;32;40;35;40;39;33;32;53;31
крем для увлажнения кожи тела купить;https://da-vita.ru/catalog/uvlajnyayushchie-pitatelnie-kremi-dlya-tela.html;11;21;15;26;11;12;18;18;22;14;15;17;23;22;27;20;21;22;29;29
крем для упругости тела купить;https://da-vita.ru/catalog/kremi-dlya-uprugosti-kozhi-tela.html;27;24;22;22;28;16;12;16;18;17;23;12;15;12;15;15;14;16;15;14
крем для чувствительной кожи рук купить;https://da-vita.ru/catalog/kremi-dlya-chuvstvitel-noi-koji-ruk.html;11;10;14;10;9;10;9;10;14;9;10;12;13;12;9;10;10;12;9;9
крем дневной ahava;https://da-vita.ru/catalog/dnevnie-kremi-ahava.html;18;17;21;16;18;21;17;21;21;10;11;14;43;39;52;47;43;41;51;44
крем дневной для чувствительной кожи купить;https://da-vita.ru/catalog/dnevnie-kremi.html;31;8;8;12;6;5;6;4;6;8;5;5;4;10;4;5;9;4;12;12
крем дневной с лифтинг эффектом купить;https://da-vita.ru/catalog/lifting-kremi.html;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
крем дневной увлажняющий купить;https://da-vita.ru/catalog/dnevnie-kremi.html;14;14;9;9;13;9;8;13;14;11;7;11;11;18;11;15;17;15;21;20
крем заживляющий против трещин на ногах купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем золотой;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем израиль ahava;https://da-vita.ru/catalog/ahava.html;10;9;11;8;14;7;9;11;11;7;7;6;7;5;5;5;13;6;7;10
крем коллагеновый health beauty;https://da-vita.ru/catalog/kosmetika-s-maslom-shi/collagen_day_cream.html;4;3;4;3;3;3;3;3;4;2;2;2;3;3;4;3;2;2;2;2
крем лифтинг для век;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем лифтинг для век антивозрастной;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем лифтинг шеи декольте;-;58;64;91;62;58;39;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем на лето;https://da-vita.ru/beauty-blog/kak-vibrat-krem-na-leto-i-vesnu.html;20;19;20;18;18;18;17;9;17;6;16;16;17;17;17;17;6;14;6;16
крем на лето для комбинированной кожи;https://da-vita.ru/beauty-blog/kak-vibrat-krem-na-leto-i-vesnu.html;101;31;33;34;32;35;27;25;27;26;26;25;27;26;32;25;24;24;26;22
крем на лето после 40 лет;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем на лето с spf;https://da-vita.ru/beauty-blog/kak-vibrat-krem-na-leto-i-vesnu.html;36;38;35;32;29;26;22;25;24;22;25;23;28;25;25;30;24;19;27;26
крем на лето с спф;https://da-vita.ru/beauty-blog/kak-vibrat-krem-na-leto-i-vesnu.html;36;32;46;19;24;25;22;21;22;18;17;17;23;21;14;18;15;22;22;18
крем на основе гиалуроновой кислоты купить;https://da-vita.ru/catalog/kremi-s-gialuronovoi-kislotoi.html;29;27;22;47;27;27;24;23;31;22;23;23;31;25;27;26;25;23;31;28
